id,x,u
0,0.025,0.05
1,0.07500000000000001,0.15000000000000002
2,0.125,0.25
3,0.17500000000000002,0.35000000000000003
4,0.225,0.45
5,0.275,0.55
6,0.32500000000000007,0.6500000000000001
7,0.37500000000000006,0.7500000000000001
8,0.42500000000000004,0.8500000000000001
9,0.47500000000000003,0.9500000000000001
10,0.525,1.05
11,0.5750000000000001,1.1500000000000001
12,0.6250000000000001,1.2500000000000002
13,0.675,1.35
14,0.7250000000000001,1.4500000000000002
15,0.775,1.55
16,0.8250000000000001,1.6500000000000001
17,0.8750000000000001,1.7500000000000002
18,0.925,1.85
19,0.9750000000000001,1.9500000000000002
